,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
130,amazon_review_polarity,101.5877778,9054,17,381,0.353106341,2.058915512,1848.90613,2.300729407,5,0.0,2,1.0,0.89,2,0.78,0.76,0.88,0.25
131,ag_news,46.54,7418,11,212,0.423759621,2.005839446,599.0773813,2.554681659,3,0.685994341,4,2.071767269,0.78,4,0.65,0.57,0.56,0.23
132,amazon_review_polarity,98.08666667,9119,17,433,0.353661861,2.092203993,1878.799186,2.419535088,3,0.0,2,1.0,1.0,2,0.56,0.55,0.65,0.29
133,yelp_review_polarity,201.6077778,9536,6,1248,0.45274579,1.476533207,1325.92682,1.844409838,4,0.0,2,1.0,0.95,2,0.78,0.78,0.82,0.22
134,ag_news,45.10777778,7342,12,207,0.422257499,2.034912827,607.7606311,2.938710301,2,0.707106781,4,1.407407407,0.81,4,0.6,0.59,0.61,0.17
135,dbpedia,66.20888889,9647,12,249,0.617957925,1.362821797,92.88154709,1.752095424,17,0.141618185,14,2.39120522,0.93,14,0.46,0.34,0.56,0.09
136,yelp_review_polarity,184.8211111,8944,3,1384,0.446551496,1.503615791,1350.24698,1.668529587,2,0.0,2,1.0,0.56,2,0.74,0.76,0.88,0.29
137,dbpedia,67.6,9768,11,158,0.620146549,1.340093116,91.33250009,1.8640165,11,-0.409768774,14,3.561022499,0.91,14,0.5,0.38,0.64,0.13
138,ag_news,46.28222222,7362,10,345,0.425211738,2.040424412,609.4067576,2.406309293,4,0.834829759,4,2.0,0.77,4,0.64,0.62,0.61,0.12
139,yelp_review_polarity,177.0755556,8990,6,1240,0.448632328,1.509029049,1355.108086,1.938481925,3,0.0,2,1.0,0.66,2,0.82,0.86,0.78,0.23
140,dbpedia,66.56,9653,7,146,0.608187203,1.357811421,92.54007069,1.904006029,12,0.307459347,14,2.567440683,0.9,14,0.49,0.4,0.57,0.06
141,yelp_review_polarity,195.7211111,9422,9,1711,0.463053907,1.443171416,1295.967931,1.803306594,2,0.0,2,1.0,0.49,2,0.75,0.77,0.86,0.31
142,dbpedia,66.26888889,9507,12,430,0.628377284,1.324505046,90.27011314,2.012078711,11,0.595749305,14,2.091920294,0.96,14,0.49,0.39,0.61,0.1
143,dbpedia,65.58777778,9369,5,159,0.611532736,1.363522753,92.92931997,1.817576503,12,-0.084575112,14,2.779455419,0.96,14,0.43,0.38,0.56,0.1
144,ag_news,45.96333333,7368,16,209,0.425700821,2.015126955,601.8512507,3.257612233,2,0.334887343,4,1.969866364,0.75,4,0.63,0.62,0.61,0.21
145,amazon_review_polarity,97.32666667,8783,21,370,0.354492401,2.066154726,1855.406944,2.265394135,5,0.0,2,1.0,0.98,2,0.72,0.73,0.82,0.3
146,ag_news,45.88,7324,14,206,0.422689859,2.012772766,601.1481327,2.239641245,6,-0.4077766,4,1.822581591,0.76,4,0.74,0.63,0.61,0.16
147,yelp_review_polarity,194.6733333,9384,4,1331,0.455226004,1.481781779,1330.640038,1.976881185,2,0.0,2,1.0,0.94,2,0.81,0.74,0.77,0.26
148,ag_news,46.05555556,7393,14,207,0.41980238,2.033927258,607.4662743,2.072741488,6,-0.160356745,4,1.275885714,0.81,4,0.63,0.63,0.52,0.24
149,amazon_review_polarity,101.2111111,9057,18,312,0.357269093,2.077462909,1865.561692,2.095731698,5,0.0,2,1.0,0.6,2,0.74,0.68,0.81,0.3
150,yelp_review_polarity,190.4911111,9348,8,1391,0.451092382,1.502852935,1349.561935,1.72704086,2,0.0,2,1.0,0.59,2,0.56,0.54,0.58,0.21
151,yelp_review_polarity,188.05,9144,4,1234,0.447018166,1.490127488,1338.134484,2.008463347,2,0.0,2,1.0,0.77,2,0.8,0.71,0.73,0.22
152,yelp_review_polarity,188.7766667,9366,5,1213,0.4551059,1.502176174,1348.954204,1.864336923,2,0.0,2,1.0,0.86,2,0.69,0.7,0.76,0.33
153,yelp_review_polarity,189.6677778,9162,6,1485,0.457494968,1.489847618,1337.883161,1.793798159,2,0.0,2,1.0,0.57,2,0.68,0.69,0.71,0.23
154,yahoo_answers,62.87,6239,3,1564,0.339592742,2.478217909,245.0682154,2.118117754,5,0.740295812,10,1.722264846,0.91,10,0.9,0.92,0.83,0.56
155,ag_news,45.95111111,7400,15,204,0.426727363,1.998112628,596.7696381,2.192181015,2,-0.593969696,4,2.07225344,0.66,4,0.64,0.67,0.63,0.21
156,dbpedia,64.6,9558,11,169,0.608828022,1.383612239,94.29849564,1.993084793,12,0.895516154,14,2.07953583,0.92,14,0.44,0.34,0.57,0.12
157,ag_news,45.88111111,7341,12,207,0.421227122,2.018440681,602.8409499,2.424895208,2,-0.286038777,4,1.333553719,0.67,4,0.66,0.56,0.51,0.17
